Participant_ID,Base_text,Modality,Text_type,Score
1,6,Listening,Literal,"0,315789474"
1,3,Reading,Literal,"0,4"
1,1,Reading,Metaphorical,"0,52"
1,8,Listening,Metaphorical,"0,470588235"
2,5,Listening,Metaphorical,"0,375"
2,3,Reading,Metaphorical,"0,5"
2,7,Listening,Literal,"0,625"
2,4,Reading,Literal,"0,6"
3,2,Reading,Literal,"0,352941177"
3,4,Reading,Metaphorical,"0,8"
3,7,Listening,Metaphorical,"0,59375"
3,8,Listening,Literal,"0,470588235"
4,6,Listening,Metaphorical,"0,578947368"
4,1,Reading,Literal,"0,64"
4,5,Listening,Literal,"0,625"
4,2,Reading,Metaphorical,"0,882352941"
5,6,Listening,Literal,"0,421052632"
5,3,Reading,Literal,"0,35"
5,1,Reading,Metaphorical,"0,56"
5,8,Listening,Metaphorical,"0,411764706"
6,5,Listening,Metaphorical,"0,6875"
6,3,Reading,Metaphorical,"0,5"
6,7,Listening,Literal,"0,6875"
6,4,Reading,Literal,"0,7"
7,6,Reading,Literal,"0,657894737"
7,3,Listening,Literal,"0,6"
7,1,Listening,Metaphorical,"0,38"
7,8,Reading,Metaphorical,"0,823529412"
9,2,Listening,Literal,"0,411764706"
9,4,Listening,Metaphorical,"0,6"
9,7,Reading,Metaphorical,"0,625"
9,8,Reading,Literal,"0,764705882"
10,6,Reading,Metaphorical,"0,368421053"
10,1,Listening,Literal,"0,38"
10,5,Reading,Literal,"0,625"
10,2,Listening,Metaphorical,"0,470588235"
11,6,Reading,Literal,"0,684210526"
11,3,Listening,Literal,"0,45"
11,1,Listening,Metaphorical,"0,64"
11,8,Reading,Metaphorical,"0,882352941"
12,5,Reading,Metaphorical,"0,5625"
12,3,Listening,Metaphorical,"0,325"
12,7,Reading,Literal,"0,875"
12,4,Listening,Literal,"0,5"
13,2,Listening,Literal,"0,411764706"
13,4,Listening,Metaphorical,"0,6"
13,7,Reading,Metaphorical,"0,84375"
13,8,Reading,Literal,"0,823529412"
14,6,Reading,Metaphorical,"0,736842105"
14,1,Listening,Literal,"0,44"
14,5,Reading,Literal,"0,75"
14,2,Listening,Metaphorical,"0,764705882"
15,2,Reading,Literal,"0,588235294"
15,4,Reading,Metaphorical,"0,6"
15,7,Listening,Metaphorical,"0,625"
15,8,Listening,Literal,"0,647058824"
16,6,Listening,Metaphorical,"0,605263158"
16,1,Reading,Literal,"0,54"
16,5,Listening,Literal,"0,625"
16,2,Reading,Metaphorical,"0,882352941"
